model,release_date,vendor
Claude (original) & Claude Instant,2023-03-14,anthropic
Claude 2,2023-07-11,anthropic
Claude Instant 1.2,2023-08-09,anthropic
Claude 2.1,2023-11-21,anthropic
Claude 3 Opus & Claude 3 Sonnet,2024-03-04,anthropic
Claude 3 Haiku,2024-03-13,anthropic
Claude 3.5 Sonnet,2024-06-21,anthropic
Claude 3.5 Sonnet (upgraded) & Claude 3.5 Haiku,2024-10-22,anthropic
Claude 3.7 Sonnet,2025-02-24,anthropic
Claude Opus 4 & Claude Sonnet 4,2025-05-22,anthropic
Claude Opus 4.1,2025-08-05,anthropic
Claude Sonnet 4.5,2025-09-29,anthropic
Claude Haiku 4.5,2025-10-15,anthropic
Claude Opus 4.5,2025-11-24,anthropic
GPT-4o mini,2024-07-18,openai
o1-preview & o1-mini,2024-09-12,openai
o3-mini,2025-01-31,openai
GPT-4.5,2025-02-27,openai
o3 & o4-mini,2025-04-16,openai
GPT-4.1 & GPT-4.1 mini,2025-05-14,openai
o3-pro,2025-06-10,openai
gpt-oss-120b & gpt-oss-20b,2025-08-05,openai
GPT-5,2025-08-07,openai
GPT-5-codex,2025-09-15,openai
GPT-5.1-Codex-Max,2025-11-19,openai
